"","word","ArticleCount"
"258","baseline",24
"259","basic",7
"260","basis",12
"261","battery",5
"262","beagle",10
"263","beagles",5
"264","beats",3
"265","bed",2
"266","begin",2
"267","beginning",7
"268","behav",2
"269","behave",7
"270","behaved",8
"271","behaving",2
"272","behavior",113
"273","behavioral",78
"274","behaviorally",2
"275","behaviors",68
"276","behaviour",88
"277","behavioural",54
"278","behaviourally",2
"279","behaviours",47
"280","belgian",5
"281","belief",2
"282","believed",2
"283","belonging",6
"284","beneficial",10
"285","benefit",7
"286","benefits",11
"287","berlin",3
"288","bias",9
"289","binary",2
"290","biochemical",2
"291","biological",3
"292","biology",2
"293","biomarker",3
"294","biomarkers",2
"295","birds",2
"296","birth",6
"297","bit",2
"298","biting",5
"299","bitten",2
"300","blind",7
"301","blinded",6
"302","blood",18
"303","body",31
"304","bond",31
"305","bonded",3
"306","bonding",6
"307","bonds",12
"308","book",2
"309","border",4
"310","born",2
"311","bout",2
"312","bouts",2
"313","bows",2
"314","box",3
"315","brain",5
"316","bred",5
"317","breed",20
"318","breeder",2
"319","breeders",5
"320","breeding",9
"321","breeds",18
"322","brushed",2
"323","brushing",3
"324","buccal",2
"325","build",2
"326","cage",4
"327","calculated",6
"328","calculus",2
"329","call",2
"330","called",7
"331","calm",4
"332","calmer",2
"333","calming",2
"334","calmness",2
"335","camera",3
"336","canine",41
"337","canines",2
"338","canis",30
"339","capable",4
"340","capacities",2
"341","capacity",8
"342","captured",2
"343","carballo",2
"344","cardiac",8
"345","cardiovascular",3
"346","care",9
"347","careful",2
"348","caregiver",10
"349","caregiver’s",2
"350","caregivers",13
"351","carer",2
"352","caretaker",4
"353","caretakers",5
"354","caring",2
"355","carnivores",2
"356","carriage",2
"357","carried",15
"358","carry",2
"359","categories",10
"360","categorized",7
"361","category",4
"362","caudate",2
"363","causal",2
"364","caused",8
"365","causing",3
"366","cautious",2
"367","cavalli",2
"368","cds",2
"369","cell",2
"370","central",2
"371","centre",2
"372","cephalic",2
"373","certified",3
"374","cg",3
"375","chair",3
"376","challenge",5
"377","challenges",2
"378","challenging",5
"379","chances",4
"380","change",19
"381","changed",8
"382","changing",5
"383","characterised",2
"384","characteristic",2
"385","characteristics",18
"386","characterize",4
"387","characterized",10
"388","characterizing",2
"389","charged",2
"390","chasing",3
"391","chemosignals",3
"392","chest",3
"393","chewing",2
"394","chi",2
"395","child",9
"396","children",16
"397","children's",2
"398","chilena",2
"399","chimpanzees",2
"400","choice",11
"401","choices",2
"402","choose",3
"403","chose",2
"404","chosen",2
"405","chronic",3
"406","ci",3
"407","circumstances",2
"408","cited",4
"409","city",3
"410","claim",2
"411","claimed",5
"412","clarify",6
"413","classes",3
"414","classic",2
"415","classical",2
"416","classification",4
"417","classified",7
"418","clients",2
"419","clinic",6
"420","clinical",9
"421","clinics",2
"422","close",17
"423","closely",7
"424","closeness",3
"425","closer",2
"426","closest",2
"427","cluster",2
"428","coded",10
"429","coding",2
"430","coefficient",2
"431","cognition",7
"432","cognitive",20
"433","cognitively",2
"434","cohort",3
"435","collaboration",3
"436","collaborative",2
"437","collar",8
"438","collars",4
"439","collect",4
"440","collected",44
"441","collecting",2
"442","collection",9
"443","collie",2
"444","combination",11
"445","combinations",3
"446","combined",9
"447","combining",4
"448","comfort",4
"449","comfortable",2
"450","command",4
"451","commands",12
"452","commercial",6
"453","common",19
"454","commonly",11
"455","commons",3
"456","communicate",4
"457","communication",15
"458","communicative",10
"459","companion",17
"460","companions",6
"461","company",5
"462","comparable",6
"463","comparative",5
"464","compare",9
"465","compared",102
"466","comparing",12
"467","comparison",14
"468","comparisons",4
"469","competence",3
"470","competition",5
"471","competitive",5
"472","complete",5
"473","completed",14
"474","completely",3
"475","completion",5
"476","complex",11
"477","complexity",2
"478","compliance",2
"479","complicated",2
"480","comply",2
"481","component",12
"482","components",12
"483","composite",2
"484","composition",2
"485","comprise",2
"486","comprising",4
"487","compromise",4
"488","concentrate",2
"489","concentration",19
"490","concentrations",28
"491","concern",7
"492","concerns",5
"493","conclude",17
"494","concluded",10
"495","conclusion",10
"496","conclusions",5
"497","concurrent",6
"498","condition",30
"499","conditional",3
"500","conditioned",3
"501","conditioning",4
"502","conditions",46
"503","conduct",2
"504","conducted",29
"505","conducting",2
"506","confidence",5
"507","confident",4
"508","confined",3
"509","confirm",9
"510","confirmed",4
"511","confirming",4
"512","conflict",10
"513","conflicts",3
"514","confronted",6
"515","conscientiousness",2
"516","consecutive",5
"517","consequence",3
"518","consequences",4
"519","considerable",8
"520","consideration",2
"521","considered",23
"522","consisted",21
"523","consistency",4
"524","consistent",16
"525","consistently",3
"526","consisting",8
"527","conspecific",6
"528","conspecifics",11
"529","conspicuous",2
"530","constitute",4
"531","constrained",3
"532","consultation",3
"533","consultations",3
"534","contact",86
"535","contacted",2
"536","contacts",3
"537","contagion",7
"538","contagious",3
"539","contained",2
"540","context",28
"541","contexts",14
"542","contingency",2
"543","continued",5
"544","continuous",9
"545","continuously",3
"546","contrary",9
"547","contrast",16
"548","contribute",2
"549","contributes",2
"550","control",61
"551","controlled",10
"552","controls",11
"553","controversial",2
"554","controversy",2
"555","conversely",5
"556","cooperation",2
"557","cooperative",10
"558","cope",3
"559","coping",8
"560","copy",3
"561","copyright",9
"562","correct",2
"563","correction",3
"564","correctly",3
"565","correlate",6
"566","correlated",27
"567","correlation",16
"568","correlations",7
"569","corresponded",2
"570","cort",3
"571","cortisol",66
"572","cost",3
"573","costs",4
"574","counselling",2
"575","counted",2
"576","counterbalanced",6
"577","countries",2
"578","counts",2
"579","county",3
"580","coupled",2
"581","courses",2
"582","covariate",2
"583","covered",2
"584","covering",3
"585","create",5
"586","created",7
"587","creating",3
"588","creative",3
"589","credited",4
"590","criteria",4
"591","criterion",3
"592","critical",4
"593","critically",2
"594","cross",7
"595","crosses",2
"596","crouched",2
"597","crouching",2
"598","crucial",8
"599","cruelty",2
"600","crying",2
"601","cue",4
"602","cued",2
"603","cues",29
"604","curiosity",4
"605","current",28
"606","curve",2
"607","custody",2
"608","cut",2
"609","daily",15
"610","dangerous",3
"611","dangerousness",5
"612","data",57
"613","database",2
"614","date",7
"615","day",26
"616","days",28
"617","de",5
"618","dealt",2
"619","debated",2
"620","decade",2
"621","decline",3
"622","decrease",29
"623","decreased",26
"624","decreases",5
"625","decreasing",7
"626","defensively",2
"627","deficit",2
"628","define",2
"629","defined",7
"630","definite",2
"631","degree",9
"632","degrees",2
"633","delay",2
"634","delivered",4
"635","delivering",2
"636","delta",2
"637","demand",3
"638","demandingness",2
"639","dementia",2
"640","demographic",5
"641","demonstrate",15
"642","demonstrated",20
"643","demonstrates",3
"644","demonstrating",6
"645","demonstration",3
"646","demonstrator",2
"647","dental",2
"648","dependent",7
"649","depending",6
"650","depends",2
"651","depression",2
"652","deprivation",3
"653","depth",2
"654","derived",3
"655","describe",5
"656","describes",4
"657","describing",3
"658","description",2
"659","descriptive",9
"660","desensitization",2
"661","desensitized",2
"662","design",19
"663","designed",13
"664","desirable",3
"665","desire",2
"666","detailed",5
"667","details",2
"668","detected",6
"669","detection",3
"670","determine",32
"671","determined",9
"672","determining",2
"673","detour",3
"674","detrimental",4
"675","develop",9
"676","developed",18
"677","developing",7
"678","development",15
"679","developmental",4
"680","develops",2
"681","deviation",5
"682","device",6
"683","devices",7
"684","dh",2
"685","diagnosed",4
"686","diagnosis",2
"687","diet",3
"688","differed",7
"689","difference",36
"690","differences",79
"691","differential",10
"692","differentiated",3
"693","differing",2
"694","difficult",4
"695","digitally",2
"696","dimension",3
"697","dimensional",2
"698","dimensions",5
"699","diminishes",2
"700","direct",12
"701","directed",19
"702","direction",5
"703","directions",2
"704","directly",5
"705","discovered",2
"706","discriminate",8
"707","discrimination",5
"708","discuss",4
"709","discussed",11
"710","discusses",2
"711","discussion",2
"712","disease",6
"713","disorder",5
"714","disorders",5
"715","displacement",3
"716","display",13
"717","displayed",25
"718","displaying",2
"719","displays",4
"720","disruption",2
"721","distance",8
"722","distinct",5
"723","distinction",2
"724","distinctive",4
"725","distinguished",2
"726","distracted",4
"727","distraction",4
"728","distractions",2
"729","distress",19
"730","distressed",3
"731","distressing",3
"732","distributed",6
"733","distribution",7
"734","diverse",4
"735","divided",11
"736","dl",3
"737","dma",2
"738","dna",3
"739","document",2
"740","documented",4
"741","dog",224
"742","dog's",45
"743","dog’s",11
"744","dogs",306
"745","domestic",34
"746","domesticated",6
"747","domestication",12
"748","dominance",4
"749","dominant",3
"750","door",19
"751","doors",2
"752","dopamine",2
"753","double",2
"754","drawn",3
"755","dressed",2
"756","driven",2
"757","drowsiness",2
"758","due",22
"759","dummy",2
"760","duration",35
"761","durations",4
"762","dyad",8
"763","dyadic",6
"764","dyads",20
"765","dynamic",3
"766","dynamics",4
"767","dysfunction",2
"768","dysfunctional",2
"769","dysregulation",2
"770","e.g",25
"771","ear",3
"772","earlier",6
"773","ears",7
"774","easier",2
"775","easily",6
"776","easy",2
"777","eat",2
"778","ecg",3
"779","ecological",4
"780","education",3
"781","educational",2
"782","eeg",3
"783","effect",91
"784","effective",24
"785","effectively",3
"786","effectiveness",7
"787","effects",74
"788","efficacy",8
"789","efficiency",3
"790","efficient",3
"791","efficiently",2
"792","effort",2
"793","efforts",3
"794","eia",2
"795","eighty",3
"796","electrocardiogram",3
"797","electroencephalogram",2
"798","electronic",3
"799","elements",8
"800","elevated",9
"801","elevation",3
"802","elicit",6
"803","elicited",5
"804","eliciting",3
"805","elsevier",47
"806","emerged",4
"807","emotion",9
"808","emotional",58
"809","emotionally",6
"810","emotions",13
"811","empathy",3
"812","emphasis",3
"813","emphasize",2
"814","empirical",5
"815","empirically",2
"816","employed",7
"817","enabled",2
"818","enclosure",5
"819","encounter",4
"820","encountered",2
"821","encouraged",5
"822","encouragement",3
"823","encouraging",4
"824","endocrine",3
"825","endogenous",2
"826","endurance",2
"827","engage",8
"828","engaged",10
"829","engagement",2
"830","engaging",2
"831","enhance",9
"832","enhanced",7
"833","enhancement",2
"834","enhances",3
"835","enhancing",2
"836","enriched",3
"837","enrichment",10
"838","enrolled",2
"839","ensure",3
"840","enter",2
"841","entered",3
"842","entering",5
"843","entitled",2
"844","entrance",2
"845","entry",2
"846","environment",52
"847","environmental",16
"848","environments",11
"849","enzyme",5
"850","episode",5
"851","episodes",11
"852","equal",4
"853","equally",7
"854","equation",2
"855","equivalent",3
"856","error",2
"857","escalation",3
"858","escape",3
"859","essential",4
"860","establish",5
"861","established",17
"862","establishing",2
"863","establishment",3
"864","estimated",3
"865","estimation",2
"866","ethogram",4
"867","ethological",3
"868","euthanasia",2
"869","euthanized",2
"870","evaluate",32
"871","evaluated",27
"872","evaluating",3
"873","evaluation",16
"874","evaluations",3
"875","event",4
"876","events",10
"877","everyday",2
"878","evidence",41
"879","evidenced",6
"880","evidently",2
"881","evoke",2
"882","evolutionary",5
"883","evolved",3
"884","exam",3
"885","examination",18
"886","examinations",4
"887","examine",15
"888","examined",32
"889","examines",3
"890","examining",3
"891","exams",2
"892","excellent",4
"893","exceptional",2
"894","excessive",4
"895","excessively",2
"896","excitability",2
"897","excitation",2
"898","excited",2
"899","excitement",3
"900","excluded",2
"901","exclusive",3
"902","exclusively",3
"903","exemption",2
"904","exercise",5
"905","exercises",8
"906","exercising",2
"907","exerted",4
"908","exhibit",8
"909","exhibited",29
"910","exhibiting",5
"911","exist",5
"912","existed",2
"913","existence",2
"914","existing",5
"915","exists",2
"916","exit",4
"917","expectations",2
"918","expected",10
"919","experience",34
"920","experienced",17
"921","experiences",13
"922","experiencing",2
"923","experiment",28
"924","experimental",34
"925","experimentally",3
"926","experimenter",34
"927","experimenter's",3
"928","experimenters",2
"929","experiments",6
"930","explain",7
"931","explained",4
"932","explanations",2
"933","explicit",2
"934","exploration",15
"935","explorative",2
"936","exploratory",13
"937","explore",7
"938","explored",11
"939","explores",2
"940","exploring",5
"941","exposed",23
"942","exposure",14
"943","express",3
"944","expressed",10
"945","expressing",3
"946","expression",8
"947","expressions",12
"948","expressive",3
"949","extend",2
"950","extended",2
"951","extension",2
"952","extensive",4
"953","extensively",4
"954","extent",11
"955","external",4
"956","extinction",4
"957","extracted",2
"958","extreme",9
"959","extremely",2
"960","eye",9
"961","eyes",5
"962","faced",3
"963","facial",11
"964","facilitate",8
"965","facilitated",4
"966","facilitates",3
"967","facilitation",2
"968","facilities",5
"969","facility",7
"970","facing",3
"971","factor",22
"972","factors",38
"973","faeces",2
"974","failed",6
"975","fairly",2
"976","fake",2
"977","familiar",30
"978","familiaris",30
"979","familiarity",18
"980","familiarization",2
"981","families",3
"982","family",14
"983","fast",2
"984","faster",6
"985","fat",2
"986","fear",37
"987","fearful",23
"988","fearfulness",6
"989","feasible",3
"990","feature",5
"991","features",7
"992","fecal",2
"993","fed",3
"994","federal",2
"995","feedback",2
"996","feeding",3
"997","female",27
"998","females",16
"999","fewer",11
"1000","ffi",3
"1001","field",10
"1002","fifty",4
"1003","figure",6
"1004","figures",4
"1005","filled",4
"1006","filmed",4
"1007","final",5
"1008","finally",20
"1009","finding",9
"1010","findings",72
"1011","firstly",2
"1012","fitted",3
"1013","fixed",4
"1014","flee",2
"1015","flexible",2
"1016","flight",2
"1017","floor",3
"1018","fluctuations",2
"1019","flux",2
"1020","focal",4
"1021","focus",8
"1022","focused",11
"1023","focusing",6
"1024","follow",5
"1025","food",27
"1026","footage",2
"1027","forepaw",2
"1028","form",19
"1029","formal",3
"1030","formation",3
"1031","formed",5
"1032","forming",3
"1033","forms",6
"1034","forty",7
"1035","forward",3
"1036","foster",3
"1037","found",92
"1038","fourteen",4
"1039","fraction",2
"1040","framework",3
"1041","francis",2
"1042","free",16
"1043","freely",4
"1044","freezing",3
"1045","frequencies",2
"1046","frequency",30
"1047","frequent",6
"1048","frequently",23
"1049","friend",2
"1050","friendliness",3
"1051","friendly",18
"1052","front",9
"1053","frustration",6
"1054","fulfilled",2
"1055","function",11
"1056","functional",10
"1057","functions",2
"1058","fundamental",5
"1059","future",12
"1060","gain",5
"1061","gaining",2
"1062","game",3
"1063","games",5
"1064","gaze",16
"1065","gazed",4
"1066","gazing",12
"1067","gender",11
"1068","gene",5
"1069","generalizability",2
"1070","genetic",3
"1071","genetically",4
"1072","genotype",3
"1073","genotypes",2
"1074","gently",3
"1075","german",3
"1076","germany",2
"1077","gesture",3
"1078","gestures",8
"1079","gingivitis",2
"1080","giving",5
"1081","global",3
"1082","glucocorticoid",2
"1083","glucocorticoids",2
"1084","gmbh",2
"1085","goal",6
"1086","golden",11
"1087","greatly",4
"1088","green",2
"1089","greeted",4
"1090","greeting",12
"1091","greyhounds",2
"1092","grooming",3
"1093","ground",4
"1094","grounds",3
"1095","growing",7
"1096","growled",2
"1097","guard",2
"1098","guarding",2
"1099","guide",13
"1100","habitats",3
"1101","habituated",2
"1102","habituation",3
"1103","hai",3
"1104","hair",5
"1105","half",14
"1106","hand",16
"1107","handle",3
"1108","handled",5
"1109","handler",30
"1110","handler's",4
"1111","handlers",31
"1112","handling",12
"1113","happiness",3
"1114","happy",5
"1115","harsh",3
"1116","head",11
"1117","health",11
"1118","healthcare",2
"1119","healthy",3
"1120","heart",36
"1121","heartbeat",2
"1122","heat",2
"1123","heavier",2
"1124","heidelberg",3
"1125","height",2
"1126","heightened",3
"1127","held",5
"1128","helpful",2
"1129","helping",3
"1130","helps",3
"1131","hemisphere",2
"1132","hesitant",2
"1133","heterogeneous",2
"1134","heterospecific",3
"1135","heterospecifics",2
"1136","hf",4
"1137","hidden",3
"1138","hiding",2
"1139","highlight",5
"1140","highlighting",3
"1141","highlights",2
"1142","highly",17
"1143","hind",2
"1144","history",9
"1145","holding",5
"1146","home",29
"1147","homed",2
"1148","homeostasis",2
"1149","homes",8
"1150","hormonal",8
"1151","hormone",10
"1152","hormones",2
"1153","hospital",4
"1154","hour",7
"1155","hours",7
"1156","house",6
"1157","housed",11
"1158","household",5
"1159","households",3
"1160","housing",8
"1161","hpa",5
"1162","hr",15
"1163","hrv",9
"1164","hs",2
"1165","human",193
"1166","human's",4
"1167","humane",2
"1168","humans",111
"1169","humming",2
"1170","hundred",3
"1171","hunting",4
"1172","husbandry",3
"1173","hyper",2
"1174","hyperactivity",2
"1175","hypersocial",2
"1176","hypothalamic",8
"1177","hypothalamus",2
"1178","hypothesis",18
"1179","hypothesize",3
"1180","hypothesized",6
"1181","i.e",33
"1182","icc",2
"1183","idea",4
"1184","identical",6
"1185","identification",4
"1186","identified",12
"1187","identify",12
"1188","identifying",5
"1189","identity",2
"1190","ignoring",2
"1191","ii",8
"1192","iii",2
"1193","illnesses",2
"1194","image",2
"1195","images",2
"1196","immediately",16
"1197","immobility",2
"1198","immunoassay",5
"1199","impact",25
"1200","impacts",3
"1201","impaired",4
"1202","impairment",2
"1203","impeded",2
"1204","implemented",4
"1205","implications",16
"1206","imply",2
"1207","implying",4
"1208","importance",10
"1209","importantly",4
"1210","imposed",2
"1211","impression",2
"1212","improve",22
"1213","improved",10
"1214","improvement",8
"1215","improvements",4
"1216","improving",10
"1217","inactive",2
"1218","inappropriate",2
"1219","include",3
"1220","included",25
"1221","includes",4
"1222","including",38
"1223","inclusion",4
"1224","inconsistent",3
"1225","increase",43
"1226","increased",74
"1227","increases",14
"1228","increasing",6
"1229","increasingly",7
"1230","increment",2
"1231","independence",3
"1232","independent",13
"1233","independently",3
"1234","index",7
"1235","india",2
"1236","indicating",12
"1237","indication",6
"1238","indicative",7
"1239","indicator",6
"1240","indicators",12
"1241","indirect",3
"1242","individual",36
"1243","individualized",2
"1244","individually",6
"1245","individuals",23
"1246","induce",7
"1247","induced",9
"1248","induces",2
"1249","inducing",3
"1250","industry",2
"1251","inexperienced",2
"1252","infant",6
"1253","infants",8
"1254","influence",47
"1255","influenced",21
"1256","influences",12
"1257","influencing",4
"1258","influential",2
"1259","informa",2
"1260","informant",2
"1261","information",22
"1262","infrared",3
"1263","inhibition",5
"1264","initial",11
"1265","initially",3
"1266","initiated",9
"1267","initiating",2
"1268","injuries",2
"1269","innate",2
"1270","insecure",9
"1271","inside",10
"1272","insights",4
"1273","instances",3
"1274","instantaneous",2
"1275","institutions",2
"1276","instructed",4
"1277","instruction",2
"1278","instructions",3
"1279","instrumental",5
"1280","integral",2
"1281","integration",3
"1282","intended",3
"1283","intense",5
"1284","intensity",8
"1285","intensive",5
"1286","inter",16
"1287","interact",30
"1288","interacted",10
"1289","interacting",25
"1290","interaction",90
"1291","interactions",84
"1292","interactive",4
"1293","interacts",4
"1294","interestingly",3
"1295","interfere",2
"1296","intermediate",7
"1297","international",2
"1298","interpret",3
"1299","interpretation",2
"1300","interpreted",4
"1301","interrupted",2
"1302","interspecies",5
"1303","interspecific",4
"1304","interval",11
"1305","intervals",11
"1306","intervention",13
"1307","interventions",15
"1308","intra",8
"1309","intranasal",4
"1310","intraspecific",6
"1311","intrinsic",3
"1312","introduced",9
"1313","introduction",3
"1314","invasive",11
"1315","inventory",5
"1316","inversely",2
"1317","inverted",2
"1318","investigate",52
"1319","investigated",64
"1320","investigates",3
"1321","investigating",5
"1322","investigation",5
"1323","investigations",7
"1324","involve",2
"1325","involved",25
"1326","involvement",2
"1327","involves",4
"1328","involving",15
"1329","irrespective",4
"1330","isaz",2
"1331","isolated",3
"1332","isolation",10
"1333","issue",4
"1334","issues",3
"1335","items",4
"1336","iu",2
"1337","joint",4
"1338","jump",4
"1339","jumping",6
"1340","juvenile",2
"1341","keeping",4
"1342","kennel",15
"1343","kenneled",3
"1344","kennelled",2
"1345","kennels",5
"1346","key",12
"1347","knowledge",11
"1348","lab",2
"1349","labeled",2
"1350","laboratory",12
"1351","labrador",15
"1352","lack",12
"1353","lacking",4
"1354","language",8
"1355","laps",2
"1356","larger",11
"1357","lasted",6
"1358","lasting",3
"1359","late",2
"1360","latencies",5
"1361","latency",12
"1362","latent",2
"1363","law",2
"1364","lay",2
"1365","lead",19
"1366","leading",7
"1367","learn",12
"1368","learned",6
"1369","learning",16
"1370","leash",17
"1371","led",8
"1372","left",14
"1373","legislation",2
"1374","legs",3
"1375","length",3
"1376","level",44
"1377","levels",71
"1378","lexington",4
"1379","license",3
"1380","licensee",6
"1381","lick",3
"1382","licked",2
"1383","licking",22
"1384","lie",2
"1385","life",21
"1386","lifting",5
"1387","light",4
"1388","lighter",2
"1389","likelihood",6
"1390","likewise",4
"1391","limitations",4
"1392","limited",15
"1393","line",10
"1394","linear",12
"1395","link",4
"1396","linked",14
"1397","linking",2
"1398","links",3
"1399","lip",17
"1400","lists",2
"1401","literature",11
"1402","litters",5
"1403","live",6
"1404","lived",3
"1405","lives",3
"1406","livestock",2
"1407","living",21
"1408","load",2
"1409","local",4
"1410","locate",2
"1411","located",4
"1412","location",6
"1413","locomotion",4
"1414","logistic",2
"1415","looked",10
"1416","losing",3
"1417","loss",5
"1418","lot",2
"1419","lovers",2
"1420","low",37
"1421","lower",46
"1422","lowered",4
"1423","lowest",5
"1424","lt",6
"1425","lupus",8
"1426","lying",8
"1427","m2",2
"1428","magnitude",2
"1429","main",12
"1430","maintain",4
"1431","maintained",4
"1432","maintenance",6
"1433","major",5
"1434","majority",14
"1435","male",28
"1436","males",14
"1437","mammalian",2
"1438","mammals",2
"1439","managed",2
"1440","management",7
"1441","managing",3
"1442","manifested",3
"1443","manifests",2
"1444","manipulate",2
"1445","manipulated",3
"1446","manipulating",3
"1447","manipulation",8
"1448","manipulations",6
"1449","manipulative",2
"1450","mann",5
"1451","manner",11
"1452","manual",2
"1453","marginal",2
"1454","marked",3
"1455","markedly",5
"1456","markers",2
"1457","matched",3
"1458","matching",2
"1459","mate",2
"1460","materials",2
"1461","maternal",2
"1462","mates",3
"1463","matter",2
"1464","maximal",2
"1465","maximum",3
"1466","mayo",2
"1467","mdpi",5
"1468","meaning",2
"1469","meaningful",3
"1470","means",13
"1471","measure",28
"1472","measured",50
"1473","measurement",12
"1474","measurements",9
"1475","measures",32
"1476","measuring",14
"1477","mechanism",3
"1478","mechanisms",19
"1479","median",6
"1480","mediated",5
"1481","mediates",3
"1482","medical",3
"1483","medium",6
"1484","meet",2
"1485","membrane",2
"1486","memorability",2
"1487","memory",4
"1488","mental",3
"1489","mentality",3
"1490","mere",2
"1491","met",2
"1492","meter",2
"1493","method",25
"1494","methodologies",2
"1495","methodology",4
"1496","methods",15
"1497","mg",4
"1498","mild",8
"1499","mildly",3
"1500","military",10
"1501","min",45
"1502","minimal",6
"1503","minimally",2
"1504","minute",16
"1505","minutes",18
"1506","mirror",4
"1507","mirrored",2
"1508","misinterpreted",2
"1509","mixed",20
"1510","mixture",4
"1511","mock",2
"1512","model",17
"1513","models",14
"1514","moderate",5
"1515","moderated",2
"1516","moderately",3
"1517","moderating",3
"1518","modest",2
"1519","modification",5
"1520","modifications",2
"1521","modified",18
"1522","modify",3
"1523","modulated",7
"1524","modulating",2
"1525","modulation",2
"1526","monitor",5
"1527","monitored",8
"1528","monitoring",8
"1529","month",6
"1530","months",18
"1531","mood",3
"1532","mother",9
"1533","mothers",2
"1534","motion",2
"1535","motivated",6
"1536","motivating",2
"1537","motivation",7
"1538","motivational",3
"1539","motor",3
"1540","mouth",9
"1541","move",3
"1542","moved",3
"1543","movement",8
"1544","movements",3
"1545","moving",9
"1546","multi",3
"1547","multiple",9
