"","key","title","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","abstract","notes","doi","pubmed_id","pmc_id","keywords","year","location"
"20","rayyan-825284910","Improving dog training methods: Efficacy and efficiency of reward and mixed training methods",NA,NA,"plos one","19326203 (ISSN)",16,2,NA,"de Castro, A. C. V. and Araújo, Â and Fonseca, A. and Olsson, I. A. S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101357009&doi=10.1371%2fjournal.pone.0247321&partnerID=40&md5=60b9b74185d5aab50c8746d140eb8c10","English",NA,"Dogs play an important role in our society as companions and work partners, and proper training of these dogs is pivotal. For companion dogs, training helps preventing or managing dog behaviour problems-the most frequently cited reason for relinquishing and euthanasia, and it promotes successful dog-human relationships and thus maximizes benefits humans derive from bonding with dogs. For working dogs, training is crucial for them to successfully accomplish their jobs. Dog training methods range widely from those using predominantly aversive stimuli (aversive methods), to those combining aversive and rewarding stimuli (mixed methods) and those focusing on the use of rewards (reward methods). The use of aversive stimuli in training is highly controversial and several veterinary and animal protection organizations have recommended a ban on pinch collars, e-collars and other techniques that induce fear or pain in dogs, on the grounds that such methods compromise dog welfare. At the same time, training methods based on the use of rewards are claimed to be more humane and equally or more effective than aversive or mixed methods. This important discussion, however, has not always been based in solid scientific evidence. Although there is growing scientific evidence that training with aversive stimuli has a negative impact on dog welfare, the scientific literature on the efficacy and efficiency of the different methodologies is scarce and inconsistent. Hence, the goal of the current study is to investigate the efficacy and efficiency of different dog training methods. To that end, we will apply different dog training methods in a population of working dogs and evaluate the outcome after a period of training. The use of working dogs will allow for a rigorous experimental design and control, with randomization of treatments. Military (n = 10) and police (n = 20) dogs will be pseudo-randomly allocated to two groups. One group will be trained to perform a set of tasks (food refusal, interrupted recall, dumbbell retrieval and placing items in a basket) using reward methods and the other group will be trained for the same tasks using mixed methods. Later, the dogs will perform a standardized test where they will be required to perform the trained behaviour The reliability of the behaviour and the time taken to learn them will be assessed in order to evaluate the efficacy and efficiency, respectively, of the different training methods. This study will be performed in collaboration with the Portuguese Army and with the Portuguese Public Security Police (PSP) and integrated with their dog training programs. Copyright: © 2021 de Castro et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Export Date: 17 May 2022     CODEN: POLNC     Correspondence Address: de Castro, A.C.V.; Instituto de Biologia Molecular e Celular, Portugal; email: ana.castro@ibmc.up.pt | RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: welfare yes or no?",NA,NA,NA,"animal welfare;Article;associative learning;aversive behavior;controlled study;dog;dog training;human-animal relation;military dog;negative reinforcement;nonhuman;police dog;positive reinforcement;punishment;reward;training;working dog;animal;animal behavior;female;human-animal bond;male;psychology;randomization;Animals;Behavior, Animal;Conditioning, Psychological;Dogs;Random Allocation;Reinforcement, Psychology;Working Dogs;Reward",2021,"Instituto de Biologia Molecular e Celular, Universidade do Porto, Porto, Portugal     i3S -Instituto de Investigação e Inovação em Saúde, Universidade do Porto, Porto, Portugal     Polícia de Segurança Pública, Lisbon, Portugal     CINAMIL, Military Academy Research Center, The Portuguese Army, Lisbon, Portugal"
"21","rayyan-875293038","Investigating the Impact of Brief Outings on the Welfare of Dogs Living in US Shelters",NA,NA,"animals","20762615",11,2,"548","Gunter, Lisa M. and Gilchrist, Rachel J. and Blade, Emily M. and Barber, Rebecca T. and Feuerbacher, Erica N. and Platzer, JoAnna M. and Wynne, Clive D. L.","https://www.proquest.com/docview/2524377933?accountid=12753&bdid=17177&_bd=Hmlk2Qe1CkTzQ%2FuOGEC3NDJCeTI%3D",NA,NA,"Simple SummaryAnimal shelters can be stressful places for dogs to live. Social isolation is likely one component of the environment that contributes to poor welfare but spending time out of the kennel with a person has been shown to temporarily ameliorate that stress. In this study, 164 shelter-living dogs at four animal shelters across the United States were taken on two-and-half-hour outings with a person and physiological measures of stress and physical activity captured by accelerometer devices were compared before, during, and after this short-term outing. We found that dogs’ stress was higher when they were away on these field trips and their activity changed, including less time spent in low activity and more time in higher activity. While measures of physiology and activity were found to return to pre-field trip levels the following day, these results suggest that outings of this duration do not provide the same reduction in stress as previously shown with temporary fostering. Nevertheless, short-term outings may provide shelter dogs with greater adoption visibility and assist in foster recruitment and, thus, should be further explored.AbstractSocial isolation likely contributes to reduced welfare for shelter-living dogs. Several studies have established that time out of the kennel with a person can improve dogs’ behaviour and reduce physiological measures of stress. This study assessed the effects of two-and-a-half-hour outings on the urinary cortisol levels and activity of dogs as they awaited adoption at four animal shelters. Dogs’ urine was collected before and after outings for cortisol:creatinine analysis, and accelerometer devices were used to measure dogs’ physical activity. In total, 164 dogs participated in this study, with 793 cortisol values and 3750 activity measures used in the statistical analyses. We found that dogs’ cortisol:creatinine ratios were significantly higher during the afternoon of the intervention but returned to pre-field trip levels the following day. Dogs’ minutes of low activity were significantly reduced, and high activity significantly increased during the outing. Although dogs’ cortisol and activity returned to baseline after the intervention, our findings suggest that short-term outings do not confer the same stress reduction benefits as previously shown with temporary fostering. Nevertheless, it is possible that these types of outing programs are beneficial to adoptions by increasing the visibility of dogs and should be further investigated to elucidate these effects.","RAYYAN-INCLUSION: {""Kelsey""=>""Included""}",NA,NA,NA,"Dogs",2021,"Department of Psychology, Arizona State University, Tempe, AZ 85281, USA; rgilchri@asu.edu (R.J.G.); eblade@asu.edu (E.M.B.); cwynne1@asu.edu (C.D.L.W.) . Division of Education Leadership and Innovation, Arizona State University, Tempe, AZ 85281, USA; rebecca.barber@asu.edu . Department of Animal and Poultry Sciences, Virginia Polytechnic Institute and State University (Virginia Tech), Blacksburg, VA 24061, USA; enf007@vt.edu (E.N.F.); jplatzer@vt.edu (J.M.P.)"
"22","rayyan-875292257","Life experience rather than domestication accounts for dogs’ increased oxytocin release during social contact with humans",NA,NA,"scientific reports nature publisher group ","20452322",11,1,NA,"Wirobski, Gwendolyn and Range, Friederike and Schaebs, Franka S. and Palme, Rupert and Deschner, Tobias and Marshall-Pescini, Sarah","https://www.proquest.com/docview/2550943888?accountid=12753&bdid=17177&_bd=Vfr3htLQU6RCGoxH9n84tvFQsbE%3D",NA,NA,"Dogs’ increased human-directed sociability compared to wolves may be the result of increased oxytocin system activity and decreased stress responses, but comparative studies accounting for life experience are lacking. We compared hand-raised, pack-living wolves’ and dogs’ behaviour and hormone concentrations after interacting with a closely bonded and a familiar human. Both preferred the bonded partner, but dogs showed less variability in human-directed sociability than wolves. Physical contact was not associated with oxytocin but correlated positively with glucocorticoids in the pack-living animals when the human was not bonded. To clarify the role of life experience, we tested pet dogs and found that oxytocin concentrations correlated positively with physical contact with their owners, while glucocorticoids remained unaffected. Results show that, given similar experiences, wolf-dog differences in human-directed sociability and associated hormones are subtle and indicate that factors related to life as a pet dog rather than domestication account for oxytocin release during human–dog interactions.","RAYYAN-INCLUSION: {""Kelsey""=>""Included""}",NA,NA,NA,"Humanities;Humanism;Humans;Dogs;Life Change Events;Oxytocin;MSH Release-Inhibiting Hormone",2021,"University of Veterinary Medicine, Domestication Lab, Wolf Science Center, Konrad Lorenz Institute of Ethology, Department of Interdisciplinary Life Sciences, Vienna, Austria (GRID:grid.6583.8) (ISNI:0000 0000 9686 6466).  University of Leipzig, ZLS, Leipzig, Germany (GRID:grid.9647.c) (ISNI:0000 0004 7669 9786). University of Veterinary Medicine, Unit of Physiology, Pathophysiology and Experimental Endocrinology, Department of Biomedical Sciences, Vienna, Austria (GRID:grid.6583.8) (ISNI:0000 0000 9686 6466). Max Planck Institute for Evolutionary Anthropology, Interim Group Primatology, Leipzig, Germany (GRID:grid.419518.0) (ISNI:0000 0001 2159 1813)"
"23","rayyan-875295316","Neuroendocrine and Cardiovascular Activation During Aggressive Reactivity in Dogs",NA,NA,"frontiers in veterinary science","22971769 (ISSN)",8,NA,NA,"Gobbo, E. and Zupan Šemrov, M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113321044&doi=10.3389%2ffvets.2021.683858&partnerID=40&md5=8f2c442d54b27468c1077e944f4c0e66","English",NA,"Our aim was to investigate cardiovascular activation by measuring changes in facial and body surface temperature using infrared thermography, and neuroendocrine activation using salivary cortisol (CORT) and serotonin concentration (SER) in dogs exhibiting aggressive reactivity in real time. Based on two factors, owner-reported past aggressive behaviour and detailed behaviour observations collected during a Socially Acceptable behaviour test consisting of 16 subtests and, each individual was categorized as aggressive or non-aggressive. CORT and SER showed no difference in neuroendocrine activity between dogs, but aggressive dogs with higher levels of aggression were found to have lower SER. Aggressive dogs also had an increase in facial temperature from pre-test values. The discovery of a correlation between tail wagging and left tail wagging with aggression level and aggression-related behaviour in aggressive dogs is further evidence of the right hemisphere specialization for aggression previously reported in the literature. This study provides the first evidence that both cardiovascular and neuroendocrine systems are activated during an active act of aggression in dogs. © Copyright © 2021 Gobbo and Zupan Šemrov.","Cited By :1     Export Date: 17 May 2022     Correspondence Address: Gobbo, E.; Department of Animal Science, Slovenia; email: gobbo.elena@gmail.com | RAYYAN-INCLUSION: {""Kelsey""=>""Included""}","10.3389/fvets.2021.683858",NA,NA,"cortisol;dog aggression;physiology;serotonin;surface temperature;tail wagging;hydrocortisone;aggression;animal behavior;Article;body position;body surface;body temperature measurement;cardiovascular system;dog;experimental behavioral test;face;fear;female;infant;locomotion;male;neuroendocrine system;nonhuman;right hemisphere;saliva level;social interaction;socially acceptable behavior test;thermography;Dogs;Aggression",2021,"Department of Animal Science, Biotechnical Faculty, University of Ljubljana, Domžale, Slovenia"
"24","rayyan-825284685","Occurrences of non-linear phenomena and vocal harshness in dog whines as indicators of stress and ageing",NA,NA,"scientific reports nature publisher group ","20452322",11,1,NA,"Marx, András and Lenkei, Rita and Pérez, Fraga Paula and Bakos, Viktória and Kubinyi, Enikő and Faragó, Tamás","https://www.proquest.com/docview/2492792328?accountid=12753&bdid=17177&_bd=U%2BAOljxw4JtFq939ItLxx3ypC9k%3D",NA,NA,"During social interactions, acoustic parameters of tetrapods’ vocalisations reflect the emotional state of the caller. Higher levels of spectral noise and the occurrence of irregularities (non-linear phenomena NLP) might be negative arousal indicators in alarm calls, although less is known about other distress vocalisations. Family dogs experience different levels of stress during separation from their owner and may vocalise extensively. Analysing their whines can provide evidence for the relationship between arousal and NLP. We recorded 167 family dogs’ separation behaviour including vocalisations, assessed their stress level based on behaviour and tested how these, their individual features, and owner reported separation-related problems (SRP) relate to their whines’ (N = 4086) spectral noise and NLP. Dogs with SRP produced NLP whines more likely. More active dogs and dogs that tried to escape produced noisier whines. Older dogs’ whines were more harmonic than younger ones’, but they also showed a higher NLP ratio. Our results show that vocal harshness and NLP are associated with arousal in contact calls, and thus might function as stress indicators. The higher occurrence of NLP in older dogs irrespective to separation stress suggests loss in precise neural control of the larynx, and hence can be a potential ageing indicator.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,NA,NA,"Dogs",2021,"E�tv�s Lor�nd University, Department of Ethology, Budapest, Hungary (GRID:grid.5591.8) (ISNI:0000 0001 2294 6276). E�tv�s Lor�nd University, Department of Ethology, Budapest, Hungary (GRID:grid.5591.8) (ISNI:0000 0001 2294 6276); E�tv�s Lor�nd Research Network, MTA-ELTE �Lend�let� Neuroethology of Communication Research Group, Budapest, Hungary (GRID:grid.5018.c) (ISNI:0000 0001 2149 4407)"
"25","rayyan-875292245","Personality and Cognitive Profiles of Animal-Assisted Intervention Dogs and Pet Dogs in an Unsolvable Task",NA,NA,"animals","20762615",11,7,"2144","Piotti, Patrizia and Albertini, Mariangela and Trabucco, Lidia Pia and Ripari, Lucia and Karagiannis, Christos and Bandi, Claudio and Pirrone, Federica","https://www.proquest.com/docview/2554361379?accountid=12753&bdid=17177&_bd=UqG8c5skVpzff1Q9vCTlepBicIA%3D",NA,NA,"Simple SummaryDogs are genetically predisposed to communicate with humans in collaborative ways, and life experience enhances this ability. The role of canine personality on this predisposition is unknown. This study used a test where dogs encountered an unsolvable problem. The aim of the study was to understand whether dog personalities could predict their tendency to look at the owner, approach and engage with the task, and show distress during the task. We also compared dogs with life experience in Animal Assistance Interventions and dogs with no work, training, or sport experience. The results indicate that the dogs with a personality more sensitive to uncertain situations looked at the owner more and engaged less often with the task, suggesting they were expecting directions from the owner. Dogs with a personality more sensitive to obtaining rewards and avoiding punishment looked at the owner less often. Dogs with a high tendency to avoid punishment also abandoned and returned more often to the task, possibly as a sign of frustration. Finally, Animal-Assisted Intervention dogs looked more at the owner and had fewer task orientations, confirming the enhancing effect on looking. As personality differences reflect genetic predispositions, it is very important to know the role of personality on cognitive traits that are important to dogs that work and collaborate with humans.AbstractDogs are biologically predisposed to communicate with humans in cooperative contexts. They show individual differences in dog–human communication and inhibition, potentially enhanced by life experience, e.g., Animal-Assisted Interventions. This study aimed to investigate whether dogs’ personality, defined by biologically meaningful neural circuits described in the Reinforcement Sensitivity Theory of Personality (RST), predicted dogs’ communication, task orientation, emotional state, and approach of an unsolvable task. We also investigated the differences between dogs experienced in Animal-Assisted Interventions (AAI) and inexperienced dogs. The results indicated that a high sensitivity to the RST personality trait related to managing uncertainty (behaviour Inhibition System, BIS) predicted fewer task orientations but increased referential and non-referential looking, which we interpreted as a way to obtain directions from the owner. Conversely, a high sensitivity to the traits reflecting tendencies to approach rewards (behaviour Approach System, BAS) and avoid punishment (Fight–Flight–Freeze System, FFFS) predicted lower looking. High sensitivity to the FFFS also predicted more frequent task orientations, which we interpreted as frustration. Finally, the dogs in the AAI program looked more at their owner and were less oriented towards the task. These results provide empirical evidence of individual differences tied to the psychobiological personality traits in canine cognitive skills. Understanding such cognitive profiles may have an enormous impact on activities that rely upon dog–human collaborative interaction.","RAYYAN-INCLUSION: {""Kelsey""=>""Included""}",NA,NA,NA,"Dogs;Animals;Animal Shells",2021,"Department of Veterinary Medicine, University of Milan, Via dell�Universit� 6, 26900 Lodi, Italy; patrizia.piotti1@unimi.it (P.P.); federica.pirrone@unimi.it (F.P.). Department of Bioscience, University of Milan, Via Celoria 26, 20133 Milano, Italy; lidia.trabucco@studenti.unimi.it (L.P.T.); claudio.bandi@unimi.it (C.B.). Independent Researcher, Localit� Rifoglieto, 55011 Altopascio, Italy; ripari.lucia@gmail.com. Hellenic Institute of Canine and Feline Behaviour & Training, 10434 Athens, Greece; ckaragiannis@behaviour.gr"
"26","rayyan-875295277","Pet dogs home alone: A video-based study",NA,NA,"applied animal behaviour science","01681591 (ISSN)",244,NA,NA,"Stephan, G. and Leidhold, J. and Hammerschmidt, K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116335178&doi=10.1016%2fj.applanim.2021.105463&partnerID=40&md5=849fdad2e6d8cefa35461eab97ec8811","English",NA,"Many dogs are left alone at home by their owners for several hours on a daily basis. This practice is known to be a possible source of complication in dog keeping. behaviour and veterinarians are frequently consulted due to excessive vocalisations, destructive behaviour and house-soiling of dogs left alone by their owners. These observations are thought to be symptoms of a disorder which most authors refer to as separation anxiety or separation related behaviour Little is known about dogs, which showed mostly inconspicuous behaviour during separation, and possible effects of the presence of conspecifics in multi-dog households, which may help coping with separation. Therefore, we videotaped 32 dogs in single-dog and 45 dogs in multi-dog households left home alone as part of their usual routine. We performed a continuous sampling of location, posture, vocalization, and various other behaviour Calculating and comparing percentages of observation time we tested possible effects of familiar conspecifics, and investigated the effects of sex and neuter status, variables that are discussed to have an influence on the onset of separation anxiety. In general, our dogs showed low physical activity as well as a low vocal activity, independent from the time being alone. Male dogs in multi-dog households showed a significantly higher vocal activity. A further sex related difference was that male dogs were more prone to stay at the exit-door. This bias may be due to sex-specific motivations but seems to get stronger with increasing duration of separation. Dogs in multi-dog households showed a significant higher activity (single dog: 15.3 ± 14.3, multi-dog: 27.5 ± 26.1 mean ± SD). The major difference in activity was found in the first hour of being alone and interactions with other pets played only a marginal role even in multi-dog households (0.24 ± 0.6). Whining was not reduced by the presence of familiar conspecifics. Further research is needed to see if familiar conspecifics facilitate coping with separation from humans in this context. Our data suggest rather the opposite. © 2021","Cited By :2     Export Date: 17 May 2022     CODEN: AABSE     Correspondence Address: Stephan, G.Uhlandstr. 7, Germany; email: gerrit.stephan@atn-ag.de | RAYYAN-INCLUSION: {""Kelsey""=>""Included""}","10.1016/j.applanim.2021.105463",NA,NA,"Behaviour;Dog;Home alone;Multi-dog;Separation;Vocalization;canid;detection method;observational method;videography;Dogs",2021,"Akademie für Tiernaturheilkunde, Alte Landstrasse 18, Dänikon, 8114, Switzerland     Cognitive Ethology Laboratory, German Primate Center, Göttingen, 37077, Germany"
"27","rayyan-875292637","Quantitative Behavioral Analysis and Qualitative Classification of Attachment Styles in Domestic Dogs: Are Dogs with a Secure and an Insecure-Avoidant Attachment Different?",NA,NA,"animals","20762615",11,1,"14","Riggio, Giacomo and Gazzano, Angelo and Zsilák, Borbála and Carlone, Beatrice and Mariti, Chiara","https://www.proquest.com/docview/2524377799?accountid=12753&bdid=17177&_bd=EhxXXupeSgMM6I%2FsmeKbhVHRozQ%3D",NA,NA,"Simple SummaryPrevious limited literature suggest that dogs present the same attachment styles as those observed in children towards their caregivers, namely secure, insecure-avoidant, insecure-ambivalent, and disorganized. However, such classification for dogs has never been corroborated by the simultaneous analysis of quantitative measures of behaviour recorded during the Strange Situation Procedure (SSP). Since several modified SSPs have been used to investigate dog-to-owner attachment, in this study, two different groups of dog-owner dyads underwent two different versions of the SSP. Dogs were classified based on their attachment pattern toward the owner. For this purpose, we developed a new adaptation of the classification used for human infants. In addition, dogs’ behaviour was recorded throughout the test. behaviour differences between dogs classified as secure and avoidant were investigated. Results suggest that the classification used was effective at identifying secure and avoidant attachment styles in dogs. Like in children, behaviour differences between secure and avoidant dogs were particularly evident as the test progressed. While secure dogs showed an increase in proximity/contact seeking behaviour toward their owners, avoidant dogs did not. Larger samples may be needed in future studies to support these findings and to be able to include also ambivalent and disorganized dogs.AbstractSince several modified Strange Situation Procedures (SSP) have been used to investigate dog-to-owner attachment, in this study two different samples of dog-owner dyads underwent two modified versions of the SSP. Dogs’ attachment style to the owner was assessed based on a novel adaptation of the attachment pattern classification used for infant-caregivers. Dogs’ behaviour data were collected using continuous sampling and, in the second protocol, also with a scoring system for greeting and social play. In both studies, secure and avoidant dogs’ behaviour was compared using the Mann Whitney test, while differences within each group across episodes were analyzed using the Wilcoxon paired sample test. The classification seemed to be effective at identifying both avoidant and secure attachment patterns in dogs. As expected, differences in key attachment behaviour such as proximity/contact seeking toward the caregiver, between secure and avoidant dogs were more evident in the final episodes of the test. Differently from secure dogs, avoidant dogs did not show an increase in proximity/contact seeking behaviour with the caregiver in any of the procedures. Further studies with larger samples are needed to support the effectiveness of this classification and investigate on the remaining attachment styles.","RAYYAN-INCLUSION: {""Kelsey""=>""Included""}",NA,NA,NA,"Dogs",2021,"Department of Veterinary Sciences, University of Pisa, 56124 Pisa, Italy; angelo.gazzano@unipi.it (A.G.); beatricecarlone@gmail.com (B.C.); chiara.mariti@unipi.it (C.M.).  Department of Ethology, Institute of Biology, E�tv�s Lor�nd University, 1117 Budapest, Hungary; zsilak.borbala@gmail.com"
"28","rayyan-825284673","Secure base effect in former shelter dogs and other family dogs: Strangers do not provide security in a problem-solving task",NA,NA,"plos one","19326203",16,12,"e0261790","Cimarelli, Giulia and Schindlbauer, Julia and Pegger, Teresa and Wesian, Verena and Virányi, Zsófia","https://www.proquest.com/docview/2612713409?accountid=12753&bdid=17177&_bd=%2FlKngo2Zedta0zNSpejIyDOQzsI%3D",NA,NA,"Domestic dogs display behaviour patterns towards their owners that fulfil the four criteria of attachment. As such, they use their owners as a secure base, exploring the environment and manipulating objects more when accompanied by their owners than when alone. Although there are some indications that owners serve as a better secure base than other human beings, the evidence regarding a strong owner-stranger differentiation in a manipulative context is not straightforward. In the present study, we conducted two experiments in which pet dogs were tested in an object-manipulation task in the presence of the owner and of a stranger, varying how the human partner would behaviour (i.e. remaining silent or encouraging the dog, Experiment 1), and when alone (Experiment 2). Further, to gain a better insight into the mechanisms behind a potential owner-stranger differentiation, we investigated the effect of dogs’ previous life history (i.e. having lived in a shelter or having lived in the same household since puppyhood). Overall, we found that strangers do not provide a secure base effect and that former shelter dogs show a stronger owner-stranger differentiation than other family dogs. As former shelter dogs show more behaviour signs correlated with anxiety towards the novel environment and the stranger, we concluded that having been re-homed does not necessarily affect the likelihood of forming a secure bond with the new owner but might have an impact on how dogs interact with novel stimuli, including unfamiliar humans. These results confirm the owner’s unique role in providing security to their dogs and have practical implications for the bond formation in pet dogs with a past in a shelter.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,NA,NA,"Dogs;Problem Solving",2021,"Clever Dog Lab, Comparative Cognition, Messerli Research Institute, University of Veterinary Medicine Vienna, Medical University of Vienna, University of Vienna, Vienna, Austria. Domestication Lab, Konrad Lorenz Institute of Ethology, University of Veterinary Medicine, Vienna, Vienna, Austria."
"29","rayyan-875295382","Sex differences in the behavioral responses of dogs exposed to human chemosignals of fear and happiness",NA,NA,"animal cognition","14359448 (ISSN)",24,2,"299-309","D’Aniello, B. and Fierro, B. and Scandurra, A. and Pinelli, C. and Aria, M. and Semin, G. R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100050091&doi=10.1007%2fs10071-021-01473-9&partnerID=40&md5=bb58e74cf9069da7191ddcb75c04b208","English",NA,"This research focuses on sex differences in the behaviour patterns of dogs when they are exposed to human chemosignals (sweat) produced in happy and fear contexts. No age, breed or apparatus-directed behaviour differences were found. However, when exposed to fear chemosignals, dogs’ behaviour towards their owners, and their stress signals lasted longer when compared to being exposed to happiness as well as control chemosignals. In the happy odor condition, females, in contrast to males, displayed a significantly higher interest to the stranger compared to their owner. In the fear condition, dogs spent more time with their owner compared to the stranger. behaviour directed towards the door, indicative of exit interest, had a longer duration in the fear condition than the other two conditions. Female dogs revealed a significantly longer door-directed behaviour in the fear condition compared to the control condition. Overall the data shows that the effect of exposure to human emotional chemosignals is not sex dependent for behaviour related to the apparatus, the owner or the stress behaviour however, in the happiness condition, females showed a stronger tendency to interact with the stranger. © 2021, The Author(s).","Cited By :5     Export Date: 17 May 2022     Correspondence Address: D’Aniello, B.; Department of Biology, via Cinthia, Italy; email: biagio.daniello@unina.it | RAYYAN-INCLUSION: {""Kelsey""=>""Included""}","10.1007/s10071-021-01473-9",NA,NA,"Animal cognition;Dogs;Emotions;Human chemosignals;Sex differences;pheromone;animal;animal behavior;dog;emotion;fear;female;happiness;male;sexual characteristics;Animals;Behavior, Animal;Pheromones, Human;Sex Characteristics;Humanities;Humanism;Humans",2021,"Department of Biology, University of Naples Federico II, via Cinthia, Naples, 80126, Italy     Department of Environmental, Biological and Pharmaceutical Sciences and Technologies, University of Campania “Luigi Vanvitelli”, Caserta, Italy     Department of Economics and Statistics, University of Naples Federico II, via Cinthia, Naples, 80126, Italy     William James Center for Research, ISPA-Instituto Universitario, Lisbon, 1149-041, Portugal     Faculty of Social and Behavioral Sciences, Utrecht University, Utrecht, Netherlands"
"30","rayyan-875295405","Sociability of Indian free-ranging dogs (Canis lupus familiaris) varies with human movement in urban areas",NA,NA,"journal of comparative psychology","07357036 (ISSN)",135,1,"89-97","Bhattacharjee, D. and Sarkar, R. and Sau, S. and Bhadra, A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087211753&doi=10.1037%2fcom0000241&partnerID=40&md5=c8a025792ed3886555c738fc8009ee1f","English",NA,"Cohabiting with humans in the same ecological space requires significant variation in the behaviour repertoire of animals. behaviour variation can potentially improve the chances of survival of an individual. The influence of humans can be measured by quantifying specific behaviour parameters of the interacting individuals. Sociability or the tendency to be friendly toward others is one of many personality traits in animals that can provide us with insights regarding their relationship with humans. Free-ranging dogs are one of the successful urban-adapted species that interact with humans regularly, which, in turn, influences their behaviour properties. In this study, we tested 600 adult dogs from 60 sites across India, categorized as high, low, and intermediate human flux zones, to understand their degree of sociability toward an unfamiliar human. Initially, a “positive vocalization phase” was carried out. Unresponsive dogs were further tested in a “stimulus phase.” The first phase was characterized by positive vocal sounds, while the second one included both food and positive vocalization. In addition, we surveyed a total of 1,200 people from the 60 sites to understand their perception of free-ranging dogs. Dogs in the IF zones were highly sociable compared to the other zones. High human flux zone dogs were reluctant to approach initially but showed an increased approach when food was provided. Low human flux zone dogs were the least sociable, and even the food reward had minimal impact on them. Our study provides the first evidence of behaviour variation in the degree of sociability of free-ranging dogs in urban environments. (PsycInfo Database Record (c) 2021 APA, all rights reserved) © 2020 American Psychological Association","Cited By :4     Export Date: 17 May 2022     CODEN: JCPPA     Correspondence Address: Bhadra, A.; Behaviour and Ecology Lab, Mohanpur Campus, Nadia, India; email: abhadra@iiserkol.ac.in | RAYYAN-INCLUSION: {""Kelsey""=>""Included""}","10.1037/com0000241",NA,NA,"behavioral variation;dog– human relationship;free-ranging dogs;human flux;sociability;adult;animal experiment;article;dog;female;human;India;male;nonhuman;perception;personality;PsycINFO;reward;sound;urban area;vocalization;Humanities;Humanism;Humans;Dogs",2021,"Behaviour and Ecology Lab, Department of Biological Sciences, Indian Institute of Science Education and Research Kolkata, Mohanpur, India"
"31","rayyan-825284679","Socialization in Commercial Breeding Kennels: The Use of Novel Stimuli to Measure Social and Non-Social Fear in Dogs",NA,NA,"animals","20762615",11,3,"890","Pritchett, Margaret and Croney, Candace","https://www.proquest.com/docview/2522843593?accountid=12753&bdid=17177&_bd=qUwh4j5rOevNj%2BYe2a%2BTZ7B%2Fg3U%3D",NA,NA,"Simple SummaryOwner-based reports of dogs presumed to come from commercial breeding kennels (CBKs) suggest high levels of fear in this population. Fear in kenneled dogs is a serious behaviour welfare concern as it may lead to both acute and chronic stress. Novel social and non-social stimuli have been shown to elicit behaviour associated with fear in animals. New knowledge on the levels of fear in dogs from CBKs could be used to further refine protocols intended for assessment of welfare in CBKs and to improve breeders’ management practices. The aim of this study, therefore, was to evaluate how dogs from CBKs reacted to social (i.e., a person approaching) and non-social (i.e., a traffic cone and a dog statue) stimuli, and to perform a preliminary evaluation of how these responses might be used as indicators of dogs’ overall socialization levels in kennels. Results revealed that dogs had primarily mildly fearful responses to the stimuli presented. These findings are encouraging as extreme fearful reactions were rarely recorded. Nevertheless, there is a clear margin for commercial breeders to improve the socialization protocols in their kennels to better incorporate both social and non-social stimuli.AbstractUnderstanding the behaviour welfare of dogs in commercial breeding kennels (CBKs) is important for improving breeders’ management practices as well as dog welfare. In the current study, breeding dogs from CBKs were exposed to novel stimuli to evaluate their behaviour responses, with emphasis on indicators of fear. Subjects were presented with a standard stranger-approach test, a traffic cone, and a realistic dog statue. Sixty dogs were exposed to the three stimuli and behaviour responses were scored using an ethogram developed for this study. Dogs spent significantly more time investigating the environment, staying further away from the stimulus, and they took longer to approach and investigate when presented with the cone than with the dog statue or stranger (p< 0.01). These findings suggest that the cone elicited more fear-related behaviour than the dog statue and stranger. Given these results, in addition to socializing their dogs to unfamiliar people and other dogs within their kennels, commercial breeders should be encouraged to increase the exposure of their dogs to more diverse novel stimuli to reduce non-social fear and support the welfare of dogs while they reside in the kennel and when they transition to new homes.","RAYYAN-INCLUSION: {""Kelsey""=>""Included"", ""l.c.blake""=>""Included""} | RAYYAN-LABELS: pass new rule",NA,NA,NA,"Dogs;Breeding",2021,"Department of Comparative Pathobiology, Purdue University, 725 Harrison Street, West Lafayette, IN 47906, USA"
